"ID","Joke"
22,"What do hostages eat? #ThingsYouDontAskAlexa"
23,"[nearing end of first date] Me: I'll give you a call later, OK? Her: *throws phone in river* I lost my phone."
24,"[Bar] HER: I want to have sex so badly ME: [trying to impress her] I am so bad at sex"
25,"This year I'm the Invisible Man for Halloween, according to this bartender that apparently hasn't seen me standing here for an hour"
26,"""If you love the bed so much why don't you marry it?"" *imagines beautiful ceremony on the beach, me & Beddy. No one can stop our love now."
27,"Sorry that I passed you vapor rub instead of lip balm but your lips do look as robust as fortified wine now...Does that sting?"
28,"Um, guys, whaddya do with a 5 y.o. at an aquarium who's hysterical because she sees Dory in a tank and I kind of need to know right now."
29,"The pig jumped into bed with my 6-year-old all by herself. It was super cute. Then the pig threw up all over her. Considerably less cute."
30,"Had to be a woman that coined the phrase ""severance package."" No guy is putting those two words so close to each other."
31,"Me: ""Keep your friends close, and your enemies closer."" Friends: ""No thanks."" Enemies: ""Also no thanks."""
32,"Screamed in horror as I woke to find two severed horse heads in my bed, but then laughed remembering I hadn't removed the one from yesterday"
33,"My Nissan uncomfortably seats 7 if any group of people wants to take an intimate road trip"
34,"It's like my pastor always says, ""Who are you and why are you stealing wine?"""
35,"GF: You cant keep it. ME: But- G: Its a BEE. M: HES my FRIEND! G: Hand him over. M: No! [tearing up] I wont let you hurt Albuzz Bumbledore!"
36,"[goes to museum of fine art] ""Just how fine can this art be, anyway"" [sees a vase in a thong] ""oh damn"""
37,"[first day as a celebrity chef] *Just a heartrending 40 minute montage of me struggling to get the potato masher out of the cutlery drawer*"
38,"BARBER: would you like a hot towel? ME: buddy, I don't objectify towels"
39,"First they came for the people who loaded the dishwasher incorrectly & I did not speak out. Because they do my head in."
40,"My first sexual experience occurred in the early 1800s when I was erotically swallowed by a whale."
41,"Me: ""I feel like I'm 90 years old."" My Skin: ""Let's go through puberty again."""
42,"[job interview] Interviewer: are you familiar with microsoft word Me: yes i've heard that word many times"
43,"Life is not a FAIRY TALE. If you lose your shoes  at midnight, YOU ARE DRUNK"
44,"BOSS: OK! Who smashed a hole through the wall?! [Everyone in the office stares at me, even the Kool-Aid man]"
45,"Why can't we edit tweets? Because if we could I would edit a tweet with 2,000 retweets to say ""RT if you hate puppies and babies."""
46,"Me: Hey, am I too wrinkly? Daughter: You're old, that's going to happen. Me: I MEANT MY SHIRT."
47,"I just typed ""cupkale"" instead of ""cupcake"" and accidentally invented what has to be the worst dessert idea ever."
48,"[Commercial for narrators] Narrator: Don't you wish someone would tell you important information in a soothing voice? NARRATORS"
49,"[Coffee line] *Sees cute barista* *Twirls hair* No whipped cream please *Sees his backward sunglasses* *Drops hand* Never mind. Load it up."
50,"Me: If you don't like my rules, maybe you can find a different mom. 4yo: *excitedly* Can we really do that?"
51,"*CRASH* *THUMP* *SCREAM* *Husband runs into bedroom* H: OHMYGOD ARE YOU OKAY? Me: Yeah. Just taking off my sports bra."
52,"Me: ""I mean, how can Harry Potter be the best Quidditch Seeker when he's the only one with glasses?"" Librarian: ""Just pay your fine, Ma'am."""
53,"I don't know if this is a good idea. Narrator: He knew, in fact, it was an awful idea."
54,"I like to imagine the person who originated Head & Shoulders shampoo had really, really hairy shoulders."
55,"I refused to buy my 5yo a tablet, and now she's resorted to hand-drawing angry emojis on pieces of paper to express her frustration."
56,"Wife: It's not a chick flick! Me: was the movie released in February? W: yes. M: are they standing back to back on the cover? W: sigh.. yes"
57,"Sometimes I lay in bed awake at night thinking, how did Skeletor from He-Man speak perfectly without lips or a tongue"
58,"Girl seeing my torn jeans Where'd you get those?! *remembers trying to pee on a hill & stumbling backwards through thorn bushes* The Gap."
59,"The orthodontist says I'm doing a ""super job"" wearing my retainers. All this really means is that I'm able to put things in my mouth."
60,"Siri, where did I go wrong? Siri: How long you got?"
61,"Husband: So we've basically given up. Me: On what? H: *gestures to 4yo carefully piling spaghetti on his head*: Parenting."
62,"If you think you're having a bad day, the lady who took my order in the drive-thru asked me if my order was to go."
63,"I don't even know how my dog can even think how I might fall for the notion someone else tore apart my shoe"
64,"An alarm clock that texts your boss for you the fifth time you press snooze"
65,"I wasn't kicking you. I was encouraging you to get the hell out of my way."
66,"9: Have you seen my harmonica? [flashback to me smashing it with a hammer] me: Did you look under your bed?"
67,"I posed nude for an artist once. *selfie stick"
68,"Hillary: if we aren't careful donald trump could be our next president. Let that sink in Clinton Aide: *opens door* Sink: sorry i'm late"
69,"Me: ""Could you show me where the self-help books are?"" Librarian: ""No."""
70,"[1st date] date: ...you said you had abs me: [squints] everyone has abdominal muscles, Susan"
71,"ME: ppl call dogs ""doggo"" now. i guess its a meme, i dont get it THERAPIST: this is $200/hr. do you want to talk about anything else? ME: no"
72,"[aquarium] *penguin strapped on my back* Ma'am, is that a penguin on your back? No, it's just a backpack. Oh, WHAT'S IN IT?! um, fish"
73,"Ok guys, I have 28 minutes to kill before I casually need to respond to a text message. What's up?"
74,"I once snuck my cat into a grocery store just to show him what a lazy hunter I am."
75,"It still really upsets me that my dog stopped talking to me around the same time I gave up taking hallucinogenic drugs."
76,"I'd give my wife my coat if she's cold but I'll take it back if I become cold and maybe she'll be prepared next time we go out."
77,"As a fan of Dirty Dancing I can only hope that when we go on holiday one of my daughters sleeps with a middle aged dance instructor."
78,"Food Network makes me feel like a perv: Beat it It's not moist enough My wrist is tired Look how thick it's getting It's all about flavor"
79,"*Walks in late to dinner* I see fed people."
80,"43 Hacks That Will Help You Cut Down a Christmas Tree"
81,"I learned how to count cards so I could hustle idiot 4 year olds out of their juice box when we play Go Fish"
82,"I'm not saying he ate the candy canes off the bottom of the Christmas tree I'm just saying my dog's breath was minty fresh this morning."
83,"I take it personally when the UPS guy drops off a package for my neighbors but doesn't bring me one."
84,"My therapist encouraged me to stop bending over backwards for people. But just between us, I really miss yoga."
85,"Me: What's your dad do? Kid: My dad? He's an actor Me: Why? Couldn't you get a real dad?"
86,"That moment where you playfully punch a kid in the grocery store, and only afterwards realize it wasn't yours."
87,"I just said ""bye - bye"" when I ended a phone call, and now I'm debating on if I should have my milk & cookies before or after recess."
88,"Turtles often outlive their owners, a fact the police refuse to treat as suspicious"
89,"let us all return to a simpler time, such as when i believed astroturf was farmed in space and brought to earth"
90,"Why is lumberjack the only job with some random guy's name attached? Why aren't plumbers called, like, toiletdougs? Or crapperjoels?"
91,"MOM: [walks into daughter's room, sees protest signs, history books, list of senators' phone numbers on bed] Are you... politically active?"
92,"HEAR YE, MORTALS. AWAKEN FROM THY SLUMBER. FUCKERY DOTH PLAGUE THE LAND. TIS MINE DUTY TO- *falls off barstool*"
93,"[CREATING GROUNDHOGS] GOD: a rat dog ANGEL: check GOD: that whispers to white people ANGEL: what? GOD: about the weather ANGEL:"
94,"ME: when I was 12 I got the flu so bad I had to be in the hospital GUY WHO TRIES TO ONE-UP EVERY STORY: oh yeah? when I was 13 I died"
95,"I realized taking dogs for walks is basically their way of checking social media. One lap of smells is a newsfeed scroll. Peeing is posting."
96,"Meteorologist: According to our facts, we'll have a longer winter- People: LET THE GROUNDHOG DECIDE Meterologist: But science People: NO"
97,"[How the rap feud started] Me: can u invite all the rappers to my b'day party? 2pac: sure, no biggie Biggie[eavesdropping]: [wipes tears]"
98,"[several months ago] BEYONCE: Kim Kardashian might be having a 3RD baby JAY-Z: How many we got BEYONCE: One JAY-Z: Not a problem"
99,"[being murdered] Me: did you get that knife out of the dishwasher Murderer: ...yes Me: and you didnt empty it Murderer: [murder roles reverse]"
100,"Teacher: remember class, there are no stupid questions Me: *raises hand* Teacher: i just said, no stupid questions Me: *lowers hand*"
101,"Thug: *shows tattoos of tear drops* So I remember each person I've killed. Me:*shows tattoo of an oven* So I remember to turn off the oven."
102,"[special ops briefing] Leader: We're going in deep & hard in the middle of the night Me: I bet you say that to all the boys L: Get out"
103,"[on phone with debit fraud] Bank guy: Sir do you shop on line at all Me: DUDE IT'S 2017 WE BUY TOILET PAPER ONLINE BG: M: Sometimes. Yes"
104,"[used car] ME: my credit's bad SALESMAN: k ME: i'm a criminal SALESMAN: no law against that ME: i'm on the run SALESMAN: then you need a car"
105,"One time a guy left a full glass of sangria behind on a first date and I pretended I forgot my sunglasses so I could run back and chug it."
106,"Her: Why's the couch smell like pee? [Flashback to me watching The Ring alone] Me: *points at son* I think someone had another ""accident."""
107,"VERY difficult to convince the apple store people that you've only ever dropped your phone 3 times if you dropped it twice in the store."
108,"Coworker: What would be your ideal- Me: Sleeping CW: But you didn't let me finish my- M: My answer is always sleeping."
109,"M: HEY, DID YOU REMEMBER CONDOMS? H: FFS, use your inside voice M: *whispers* did you remember condoms? H: can this wait til after mass?"
110,"Stealing being illegal is why I can't have nice things."
111,"[at parent-teacher night] Teacher:*looking at my coffee tumbler* I see you're a coffee enthusiast, too Me: Coffee? Oh...yeah, coffee*wink*"
112,"When I die I want my funeral to be closed casket but like half way thru someone opens the lid and surprise - it's a nacho bar inside"
113,"TRAINER: you know what they say ME: no pain! lo mein! TRAINER: it's ""no gain"" ME: (eating Chinese food) i like this better"
114,"No son, you can't go out with your friends. Tonight we're installing Windows Updates, as a family."
115,"*walks into confessional, closes door and sits down* Me: Alright. Look alive over there, Father, I've had a pretty wild week..."
116,"There's no actual reason to believe that eating this entire bag of Doritos will make me feel better. That's why it's called faith."
117,"COP: Can you describe your attacker? ME: No COP: Didn't you see him? ME: Yes, but I have a poor grasp of adjectives"
118,"[Forest] GF: Oh god it's a bear! Me: *Stuffs socks down front of pants* GF: What are you doing? Me: Making myself look big Bear: Well hi"
119,"COME TO ME JOURNALBOT *Journalbot enters my study* ok write this down: Polar bears are bear ghosts. ""polargeists"" [very sad robot noises]"
120,"Me:Come in. It's not like I'm a serial killer. Him:*laughs nervously* Me: *laughing* u have to murder more than 2 ppl for it to be serial"
121,"Dr: So, how did you dislocate your shoulder? Me: I panicked when the blood pressure machine at the store got tigh- I mean football.."
122,"The mechanic has informed me that the shrieking sound I hear in my car on my way to work is apparently me."
123,"[dog park] Dog: omg I just found out I'm adopted Other Dogs: [barking in shock]"
124,"Friend's Fb post: In search of a coat hanger My comment: Are you pregnant or are you locked out of your car? I've been on Twitter too long"
125,"I don't drink water anymore, not after what it did to the Grand Canyon"
126,"*on the subway* CUTE GUY: [mouths ""hi""] PRETTY GIRL: [mouths ""hi"" back] ME, IN BETWEEN THEM: [exaggeratedly mouths ""YOU GUYS LIKE HOTDOGS""]"
127,"women and their purses! haha what's in there. tampons? lol. WATER? sweater? got sweaters? do you have an extra men's medium sweater in there"
128,"Pregnant - Beyonce Pregnant with twins - Beytwice"
129,"Even if you're really tired, never try to hold your eyes open using toothpicks. DAMN YOU 1970'S CARTOONS AND ALL OF YOUR FALLACIES!"
130,"I know this is the kind of thing everyone avoids talking about, but I'm going to say it. I think I'm smarter than most, if not all, babies."
131,"Martial arts movie, starring me Master: You wish to learn to fight? Me: Yes Master: The training is very difficult Me: Oh then no The End"
132,"The brake is on the left, the gas peddle is on the right, & the liquor store is 4 miles ahead. -Me teaching my 3yr old niece how to drive"
133,"I feel bad for women who say finding true love is the best experience in life. They've obviously never found their bra size on clearance."
134,"Fried chicken is unhealthy, especially for the chicken."
135,"ART TEACHER: Why have you painted the water green again? It looks- ME: I'm bringing *puts on sunglasses* Shrek sea back AT: You're expelled"
136,"Robber: Give me your valuables Me: *hands him piece of paper* Robber: What's this? Me: My Netflix password."
137,"I'm looking for something with the health benefits of yoga but absolutely none of the yoga"
138,"Whoever decided on spelling ""biscuit"" really needs to get their shuit together."
139,"Oscar Wilde: Always be yourself. Everyone else is already taken. Liam Neeson: I will find them. Wilde: Wait, I meant- Neeson: EVERYONE"
140,"Trainer: Why do you want to learn jujitsu? Person 1: To defend myself. Person 2: Discipline. Me: My girlfriend keeps stealing my fries."
141,"Judge: Sir, need I remind you that you are under oath? Goldfish defendant: Yes."
142,"Substitute teaching 1st graders was not at all the Dead Poets Society experience I was hoping it would be."
143,"""Can you cook dinner tonight?"" Can't. New meds say I can't operate any heavy machinery and that stove doesn't look light"
144,"There should be a branch of the government that just helps people who get stood up."
145,"Tomi Lahren is pretty confident for a person whose first and last names are both misspelled"
146,"Shout out to girls that have a relationship with prisoners. At least they always know where their man is at."
147,"Art: Stop it. Life: *mockingly* Stopp iiit."
148,"Her: YOU'RE A PIECE OF SHIT! Me: Well... at least I'm not all of the shit"
149,"[at a funeral home] ME: One death please"
150,"[junkyard dog barking viciously and running directly at me] Me: Wow he must really want me to pet him"
151,"Wife: Where are you going? Me: Out. I can't stand being hemmed in by four walls. Wife: How many walls has the pub got? Five?"
152,"Me:Siri, why don't I have any friends? Siri:*shows me my Google search history* M:Good call."
153,"You're in love? Cool, I'm in sweatpants."
154,"[the beeping to remind me to put on my seatbelt finally gives up] *looks at driving test instructor* ""finally"""
155,"Don't just assume I'm crazy. Let this wedding album I photoshopped you into speak for itself."
156,"Hats were invented in 1784 when a Canadian was too polite to ask a raccoon to get off his head."
157,"Neighbors just got a pirate ship playhouse for their backyard. Drunk me has never been so excited."
158,"If video games actually influenced behaviour you'd see a lot more people accidentally jumping in the air when they try to open doors."
159,"Me: *doing magic trick* Is THIS your card? Guy: They're all my cards, give me my wallet back."
160,"Cat 911: What's your emergency? Cat: I knocked everything off the tables now I'm scared! Cat 911: Seriously? Cat: No, LOL! Cat 911: LOL!"
161,"So many girls look so cute and pretty when they cry then there's me where i look like a dying horse"
162,"Wife : Even if you cheated on me, I wouldn't leave you. Me : Really? Wife : Yes. Why would I reward you for cheating?"
163,"ME: So, where are the Hobbits? GUIDE: Again, that's Middle Earth. This is Central America. ME: Ooh, right. *Whispers in fear* Orc territory."
164,"how to hot dogs: 1) ""read"" hot dogs instructions 2) place 5 to 60 hot dogs in warm microwave or sink 3) add 1 piece of ketchup 4( drink"
165,"Turns out when you're a grown up, you CAN do anything you want, you just have to deal with the fallout... *pizza dough plops on head*"
166,"riddler: check out aquaman's new tweet: ""on my way to destroy the legion of doom with fam"" lex luthor: you follow aquaman? LOL others: LOL"
167,"My decorating style is calculated placement of sentimental things around the house, so after I die, my husband can't get laid."
168,"Give a toddler a crayon and he will eat that crayon. Teach him how to color and he will eat more crayons."
169,"*open up knapsack and a parachute comes out* Kid: But that means- *Dad is hurtling towards the ground with a sandwich and apple*"
170,"Clearly I have no shame but thanks for asking. You must be new here."
171,"""I stalk people you've probably never heard of"" -hipster stalker"
172,"I hate it when you're about to sacrifice a baby, and you notice one of the other satanists is wearing the same robes."
173,"[panting, 5 minutes into sex] It's okay, just go on without me"
174,"You'd think a baby would make the perfect paperweight, but this one keeps rolling off my desk."
175,"Someday, when I'm really old, I hope I can sit my grandchildren around my rocking chair and text them pearls of wisdom."
176,"people said my days of misquoting famous idioms were over but I'm like a phoenix rising from molasses"
177,"I've always had a soft spot in my heart for female T-Rex because the tampon insertion must've been really difficult."
178,"I love my kids but sometimes I wish the school bus would pick them up at 4:30 p.m. on Sunday."
179,"*job interview HR: Can you name one of your strengths? Me: Sure. I'll call it Giselle."
180,"Hey. Do these camo pants make me look fatigued?"
181,"I finished a sudoku today so I'm ready to do your taxes."
182,"I want an app that tells me when someone is thinking about me while having sex with someone else."
183,"(People Touring My House 50 Years After I Die) TOUR GUIDE: And over here we found a second secret room ALSO full of bacon."
184,"I saw a statue of Cinderella today. I didn't like it, but I found the plinth charming."
185,"Sometimes, I think I have had enough personal embarrassment for one lifetime, but then, I'm all like, ""No."" [rises from chair] NO."
186,"""Make yourself at home."" they say, then it's ""Ma'am please put your bra back on."" Make up your mind, library story time, make up your mind!"
187,"*leans out office door* Susan, hold all my calls. I have a very important lunch. *goes to desk and makes animal crackers fight each other*"
188,"I'd tell my neighbor about the weird smell coming from her apartment, but she's been so quiet that I don't want to disturb her."
189,"Just told everybody in the bar to shut the hell up so my date could hear the full effect of my velcro wallet opening."
190,"I'm like a kid. People like me best when I'm quiet or sleeping."
191,"Deodorant? I've never needed to buy any. People just give it me. Complete strangers sometimes"
192,"This fall on Fox: X-Files Babies. Baby Skully and Baby Mulder meet at a petting zoo when they both get knocked over by the same goat."
193,"According to the 2nd law of thermodynamics, when parents relax, children must increase the amount of disorder in the universe to compensate."
194,"I love going to the gym this time of year because I'm a perfect example of what years of neglect and nachos can do to a body."
195,"""Grab a Pop Tart!"" I tell my kids as I'm mixing up the dogs' breakfasts of organic, grain-free dog food with Greek yogurt and $85 vitamins."
196,"Most women who've dated me will tell you I'm about an 8 on the pain scale."
197,"Are you okay? Yes Did you take your cold medicine? Umm yes Why are you so nervous? I never thought throw pillows would ask so many questions"
198,"Don't worry, people who are sick of political tweets, every horror movies needs a few ""Nah, it's nothing"" types to raise the body count."
199,"Desperate, I pull a goose from my bag and throw it screaming into the bully's face. Gertrude, my biggest and angriest goose, destroys him."
200,"ME: hey guys what's the herps? HIM: u mean haps? M: oh, haha yea. what's the itch?I mean sitch H: uh M: hows it herpin? H: M: I have herpes"
201,"4-year-old: ""Frozen"" is on TV! Me: We have it on DVD. And Blu-ray. And digital download. 4: Yeah, but this one is on right now."
202,"This is probably a controversial take but I think the sanitation worker responsible for garbage collection on Sesame Street should be fired."
203,"Can't believe no one told me that cows can't walk down stairs. Now I'm stuck with all these attic cows."
204,"My blood type is A+ because I'm the best at everything. Even at having blood."
205,"Me: *does interpretative dance Translator: *does translation dance Chief: *does interpretative dance Translator: *does translation dance"
206,"Someone called me stupid and then blocked me before I even had a chance to agree with them."
207,"My sleeping pills say to take them and immediately go to bed, but I feel like I have plenty of time, so km ufmcmszbv ishzn hdu flerf."
208,"The scene in lady and the tramp but as our lips meet I carry on sucking. You feel the pasta travel back up your throat. My pasta My. Pasta"
209,"ME: [in g-string and hardhat] You sure this is what Boss meant by strip-mining? [A bat swoops down and tucks a crumpled bill into my thong]"
210,"I want to die of natural causes like being stabbed to death by a rainforest."
211,"My neighbor Ron is mad at me just because my book 'The Many Lawn Care Mistakes of My Neighbor Ron' is a hit with both critics and readers."
212,"*bangs gavel* wife: who???"
213,"What idiot called it kitchen worktop manufacture and not counter productive."
214,"ME: Who is your favourite philosopher? PROFESSOR: It's Hume. ME: Sorry - whom is your favourite philosopher?"
215,"4yo daughter: No matter how much I wipe there's still poo Me: *blocking people on twitter* Same, baby"
216,"[Drives date home] ME [stops and revs engine sexily] I had a great time tonight DATE: [climbs off my lawnmower] I did not"
217,"Just watching 50 Shades of Gray with my dad"
218,"Her: I'm sorry my baby keeps crying. He's got teeth coming in. Me: Well, don't worry, I'll sign for them..."
219,"No, autocorrect, I'm not ""pooping"" popcorn. Not now anyway. Later, yes, but I don't plan to text about it."
220,"All carpentry tool names were created by someone in desperate need of sex."
221,"Friend: What happened? 15yo me: *arm in a sling* Got hit by 2 buses. Friend: What happened? 37yo me: *in a full body cast* I sneezed weird."
222,"Wife: why are you smiling? [realizing if Blue from Blue's Clues and Clifford had puppies they'd be purple] Me: I was thinking about you."
223,"If you use your alarm to look for your car in a parking lot someone will eventually help you find it by yelling ""It's over here you idiot!"""
224,"Reasons to bake a cake after the kids go to bed: 1. To surprise them with it. 2. So they never know you ate an entire cake without sharing."
225,"Its a little cheesy but holding up a boom box outside her window and blasting the song ""Cotton Eye Joe"" will win her back everytime"
226,"Pro tip: Wives do not find it hilarious when you add a bunch of extra candles to their surprise birthday cake. I know this now."
227,"He always wanted a woman that would devour him whole like a gas station roasted chicken. She always wanted a gas station roasted chicken."
228,"Wife:How'd you sleep? Me: Fine except I got in a gun fight and died and went to the store because I ran out of shampoo W: Ambien:*giggles"
229,"I was just dancing like nobody was watching and anyway... my dogs dialed 911 and these firemen think I'm having a seizure."
230,"Machine uprising? Ha! What can they do? Toaster gonna burn my bagel? Vending machine gonna steal my money? Like they do now... Holy shit."
231,"I saw someone use ""Terrierist"" instead of ""Terrorist"" and I don't know whether I should be afraid of my dogs or not."
232,"[Car dealership] Me: *taps glove box* How 'bout this one? Salesman: Sir, we've been over this, I don't know how many McNuggets it will hold."
233,"Ever say hi to someone and immediately regret it because now you know you have to say hi to them forever?"
234,"Me: What do you want for breakfast? Kids: EGGS! BACON! WAFFLES! CHOCOLATE CHIP PANCAKES! Me: Let me rephrase. Who wants toast?"
235,"Friend: Don't come on too strong is my dating tip. [At the restaurant] Her: Can you pass the salt, please? Me: Sorry, it's too heavy."
236,"Horrifically awaiting the day all the shampoo bottles in my shower decide to squeeze me back."
237,"(Writing in food journal) me: for lunch I had sa......... trainer: (interrupting) salad. awesome. me: sake."
238,"If you think January has been a big month for marches, you're gonna lose your mind when you hear what the 3rd month of the year is called."
239,"I just referred to tongs as 'food tweezers' in case you want to be in awe of my command of the English language."
240,"Do you think when the Hamburglar robs people he holds them at bun point?"
241,"*sees cars lined up outside church* wife: Is that a funeral or a wedding? me: What's the difference?"
242,"[first day as diving instructor] Guy [from the back]: what's the signal for a shark Me: sharks don't really give signals they just show up"
243,"Daddy, why is grandma so bitter? I don't know, son; seems to run in the family. Your great uncle tasted awful"
244,"Guy: Are you pregnant? Me: No, I'm a Ninja Turtle with my shell on BACKWARDS. Guy: ..... Me: Cowabunga, douche!"
245,"Being a parent is the most rewarding job in the world. Unless you have a job where the reward is, for example, getting paid."
246,"Wild horses could easily drag me away from anything, even from my favorite activity. Wild horses are super crazy strong."
247,"*I throw u a kiss* *u duck* *it flies into space* [6 bn yrs later - the planet Xargx] LORD ZARG: Kill the- *kiss hits his cheek* LZ: Aww nvm"
248,"-Balderdash! -Codswallop! -Tommyrot! -Poppycock! Victorian Era YouTube comments"
249,"Note to self: When the wife asks ""Do you like my new hair"", don't reply with ""It'll grow back, right?"""
250,"People get so weird when I step on the gym scale behind them, naked."
251,"Me: I played this as a kid. It's from back when video games made sense 6-year-old: Why did you jump on a turtle? Me: Because I'm a plumber"
252,"mmmm This chocolate speaks my language. Or it would, if it weren't being eaten. So. I guess it's probably horrified-screaming my language."
253,"Me: and i love that thing u do with ur tongue piercing.. Wife: OMG [storms off] Me: WRITING OUR OWN VOWS WAS YOUR IDEA LYDIA [Priest faints]"
254,"When I was in college I had all these philosophical questions. Now I just want to know how these kids got toothpaste under the toilet seat."
255,"""Baby, I'm in the bedroom waiting for you"" Now I got your attention, let me show you a proper way to make the bed."
256,"Husband: I'm going to take kids to do something fun today so you can relax. Me: sounds awesome! H: Will you get them ready for me?"
257,"[at dinner] Wife: This is terrible. Me: Horrible. Waiter: Hey folks, how's your food? (simultaneously) Wife: Amazing! Me: Fantastic!"
258,"Parole officer: Come in and take a seat [me, finishing a jail term for stealing chairs] *starts sweating*"
259,"It turns out no one likes ""the real me"" and they have asked the priest to reverse my exorcism."
260,"It turns out no one likes ""the real me"" and they have asked the priest to reverse my exorcism."
261,"My boss wrote accidently wrote ""Pantera"" instead of ""Panera"" and now I'm dressed really inappropriately for this business lunch."
262,"Computer problems can be solved with duct tape if you apply it directly to the mouth of the person asking you to help fix their computer."
263,"*Becomes a black hole* *Only absorbs corndogs*"
264,"Parenting is great if you want to relive every moment from your childhood when your parents got mad at you - from your parents' perspective."
265,"Me: yah after the car accident i can barely raise my arm Lawyer: how high could u raise it before Me:*raises arm over head* like this high"
266,"MATH TEACHER: wanna come do the problem on the board? ME: no MT: i wasn't asking ME: if u were an english teacher you'd know that u were"
267,"I wondered if my wife was asleep so I held my phone a foot over her face and turned it on. Then I dropped it onto her nose. She's awake now."
268,"my son wont get past his bridge troll phase. its a phase all children have, where they live under a bridge and rob people with a gun"
269,"I asked my waitress if she thought me eating alone was embarrassing and she said, ""I work at Cheesecake Factory"""
270,"""PARKOUR!"" - me, after tripping over nothing on the sidewalk"
271,"Sometimes I wonder if the ghost in my house thinks he's being haunted by some angry, naked, drunk guy."
272,"I stab myself a little bit every day to slowly build up an immunity to being stabbed to death."
273,"When Siri has her period she uses an iPad. I hate myself."
274,"Me: My wife got me a telescope for Christmas. Neighbor: Nice. I got- Me: I know. I watched you guys open everything."
275,"[at TED talk] OMG that man is having a heart attack! Anyone here a doctor? *entire crowd stands* No a MEDICAL doctor *entire crowd sits*"
276,"[dinner party] GUEST: so what are your thoughts on euthanasia? ME: [mouth full of mashed potatoes] I am against youths everywhere."
277,"People are asking if capes are welcome at #ScienceMarch - yes - but please think of the aerodynamics if it happens to be windy!"
278,"Hey men, don't be fooled by maxipad commercials. Ladies aren't really full of blue windshield washer fluid."
279,"CRIME SCENE me: four dots in his neck, i suspect two vampires british officer: what about that bloody fork me: this is no time to eat sir"
280,"CRIME SCENE me: four dots in his neck, i suspect two vampires british officer: what about that bloody fork me: this is no time to eat sir"
281,"[Blind date] Girl: I've always had a bit of a thing for bad boys Dog: [starts putting on his coat] I don't think this is gonna work out"
282,"2017 Resolution: spend more quality time with my son *son begins describing his 500 new Pokemon cards* Well, there's always next year"
283,"Sorry I borrowed your pen and performed that emergency tracheotomy that turned out not to be an emergency. And sorry about your neck hole."
284,"Once, I got pulled over because a cop thought my car was on fire but really it was just my hair flying out the sunroof."
285,"[God Creating Raccoons] God: make a panda but a trash panda, then give it a mask so that people would know it will kill them for their food"
286,"Yeah, but is it Tyrannosauri Rex or Tyrannosaurus Rexes? *The Jehovahs Witness slams my own door in my face"
287,"Houseguests should have a mandatory bedtime."
288,"ME: Um, I specifically requested Mary. BLOODY CARLA: Listen, do you want your eyes clawed out or not?"
289,"My therapist told me that if ignorance is bliss, there's no reason for me to be on antidepressants."
290,"*puts baby powder in a crib* *adds water*"
291,"This hasn't helped my bull get any sleep at all. In fact, the closer I get to him with the bulldozer, the more agitated he gets."
292,"A super moon is just like a regular moon except Lois Lane doesn't recognize it when it's wearing horn rimmed glasses"
293,"Him: I know your secret Me:*nervously sweating, remembering my Netflix history* Yeah? H: You killed someone M: *relieved* Oh, haha. Yep"
294,"""Just this one more episode."" you said, and all the voices in your head laughed and laughed, and slapped their knees."
295,"Me: I'll take one insurance Insurance salesman: It doesn't work like that Me: *shoving $12 in his breast pocket* your best one, please"
